CPC_Code,Description,Category
A01,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,Agriculture
E21,Earth or rock drilling; Mining,Mining
G05,[Instruments for] Controlling; Regulating,Logistics
G06,[Instruments for] Computing; Calculating or Counting,Logistics
G08,[Instruments for] Signalling,Logistics
G11,[Instruments for] Information storage,Logistics
G16Y,Information and communication technology specially adapted for the Internet Of Things (IoT),Logistics
Y02E,"[Technology for] Reduction of Greenhouse (GHG) emissions, related to energy generation, transmission or distribution",Energy
,,
,,
,,
,,
,,
